value,label,per,ra,dec,t14,tt
1,55 Cnc e,0.736546,8.876702778,28.33138889,0.0684,2455568.005
2,CoRoT-1 b,1.5089557,6.805325556,-3.102111111,0.104619,2454159.453
3,CoRoT-10 b,13.2406,19.40425,0.746111111,0.124167,2454273.344
4,CoRoT-11 b,2.99433,18.71248611,5.937694444,0.1042,2454597.679
5,CoRoT-12 b,2.828042,6.717711667,-1.296416666,0.10726,2454398.627
6,CoRoT-13 b,4.03519,6.848075,-5.086416667,0.130833,2454790.809
7,CoRoT-14 b,1.51214,6.894947223,-5.536027778,0.06925,2454787.669
8,CoRoT-16 b,5.35227,18.56830917,-6.002583333,0.0995833,2454923.914
9,CoRoT-17 b,3.7681,18.57994833,-6.61225,0.196667,2454923.309
10,CoRoT-18 b,1.9000693,6.5448275,-0.031583334,0.0994583,2455321.724
11,CoRoT-19 b,3.89713,6.468905278,-0.170694444,0.195833,2455257.441
12,CoRoT-2 b,1.7429935,19.45180444,1.383694444,0.09446,2454237.536
13,CoRoT-20 b,9.24285,6.514694445,0.226888889,0.0927,2455266
14,CoRoT-22 b,9.75598,18.71114139,6.218888889,0.187,2454598.42
15,CoRoT-23 b,3.6313,18.65217778,4.357777778,0.162,2455308.939
16,CoRoT-25 b,4.86069,18.65003417,6.969777778,0.08,2454576.216
17,CoRoT-26 b,4.20474,18.65003417,6.969777778,0.227917,2454573.63
18,CoRoT-27 b,3.57532,18.56638889,5.538473056,0.115417,2455748.684
19,CoRoT-28 b,5.20851,18.579225,5.573811111,0.2375,2455755.847
20,CoRoT-29 b,2.85057,18.59347222,6.479719445,0.087,2455753.115
21,CoRoT-3 b,4.2568,19.47035139,0.121833333,0.156875,2454283.138
22,CoRoT-4 b,9.20205,6.812976389,-0.67275,0.194641,2454141.364
23,CoRoT-5 b,4.0378962,6.751816944,0.815222222,0.118644,2454400.199
24,CoRoT-6 b,8.886593,18.73816833,6.663194444,0.16996,2454595.614
25,CoRoT-7 b,0.85359163,6.730408334,-1.063027778,0.046875,2454398.077
26,CoRoT-8 b,6.21229,19.43923333,1.426444445,0.114167,2454238.974
27,CoRoT-9 b,95.2738,18.71911389,6.204138889,0.336667,2454603.345
28,GJ 1214 b,1.58040482,17.25526111,4.963805556,0.0366181,2454980.749
29,GJ 3470 b,3.336649,7.984963889,15.39152778,0.0799,2456340.726
30,GJ 436 b,2.64385,11.70291944,26.70854722,0.0317,2454415.621
31,HAT-P-1 b,4.4652934,22.96300694,38.67494444,0.116017,2454363.947
32,HAT-P-11 b,4.8878162,19.84726111,48.08029444,0.0957,2454605.891
33,HAT-P-12 b,3.2130598,13.9593,43.49352778,0.0974,2454419.196
34,HAT-P-13 b,2.91625,8.658836944,47.35202778,0.1345,2454779.93
35,HAT-P-14 b,4.627669,17.34107611,38.24219444,0.0912,2454875.289
36,HAT-P-15 b,10.863502,4.416537222,39.46063889,0.2285,2454638.56
37,HAT-P-16 b,2.77596,0.638211667,42.46311111,0.1276,2455027.593
38,HAT-P-17 b,10.338523,21.63575889,30.48872222,0.1691,2454801.169
39,HAT-P-18 b,5.508023,17.08976417,33.01247222,0.1131,2454715.022
40,HAT-P-19 b,4.008778,0.634447778,34.71152778,0.1182,2455091.534
41,HAT-P-2 b,5.6334729,16.34343611,41.04815556,0.1787,2454387.494
42,HAT-P-20 b,2.875317,7.461096945,24.33647222,0.077,2455080.927
43,HAT-P-21 b,4.124481,11.41833,41.02794444,0.153,2454996.413
44,HAT-P-22 b,3.21222,10.37877472,50.12833333,0.1196,2454930.22
45,HAT-P-23 b,1.212884,20.40825667,16.76213889,0.0908,2454852.265
46,HAT-P-24 b,3.35524,7.255005556,14.26258333,0.1539,2455216.977
47,HAT-P-25 b,3.652836,3.229027778,25.19738889,0.1174,2455176.852
48,HAT-P-26 b,4.234516,14.21042694,4.060027777,0.1023,2455304.651
49,HAT-P-27 b,3.039577,14.85116361,5.947361111,0.07,2455407.909
50,HAT-P-28 b,3.257215,0.866718333,34.72838889,0.1341,2455417.598
51,HAT-P-29 b,5.723186,2.208748333,51.77875,0.1407,2455197.575
52,HAT-P-3 b,2.899703,13.73960556,48.02866667,0.0858,2454218.759
